FIPS,Age_over_65
20189,816
20191,4230
20193,1276
20195,718
20197,1345
20199,349
20201,1309
20203,400
20205,1826
20207,771
20209,19840
21001,3571
21003,3628
21005,3459
21007,1666
21009,7525
21011,1997
21013,4979
21015,16864
21017,3800
21019,9014
21021,5561
21023,1341
21025,2137
21027,3888
21029,12282
21031,2306
21033,2653
21035,6536
21037,14117
21039,987
21041,1610
21043,4966
21045,3162
21047,8611
21049,6308
21051,3005
21053,1945
21055,1821
21057,1440
21059,16779
21061,2447
21063,1425
21065,2646
21067,41539
21069,2537
21071,6378
21073,8605
21075,1230
21077,1193
21079,3121
21081,3404
21083,6789
21085,4523
21087,2211
21089,7213
21091,1471
21093,14852
21095,4778
21097,3266
21099,3064
21101,7889
21103,2705
21105,1097
21107,8157
21109,2274
21111,120799
21113,7787
21115,4007
21117,23111
21119,2693
21121,5367
21123,2431
21125,9691
21127,2676
21129,1196
21131,1792
21133,4128
21135,2398
21137,4366
21139,1942
21141,4895
21143,2209
21145,12651
21147,2672
21149,1785
21151,12131
21153,2093
21155,3174
21157,6762
21159,1827
21161,2989
21163,3937
21165,1302
21167,3985
21169,1884
21171,1956
21173,4396
21175,2186
21177,5763
21179,6975
21181,1206
21183,4246
21185,8384
21187,1931
21189,844
21191,2262
21193,4349
21195,10761
21197,1906
21199,12005
21201,456
21203,2994
21205,3339
21207,3511
21209,6480
21211,7242
21213,2986
21215,2517
21217,4452
21219,1921
21221,3208
21223,1465
21225,2370
21227,16283
21229,2151
21231,4124
21233,2269
21235,5702
21237,1376
21239,4670
22001,9280
22003,3775
22005,14010
22007,3902
22009,6797
22011,5700
22013,2754
22015,17476
22017,40601
22019,29382
22021,1812
22023,1108
22025,1639
22027,3014
22029,3340
22031,4699
22033,60902
22035,996
22037,3303
22039,5069
22041,3573
22043,3282
22045,10400
22047,4973
22049,3188
22051,72333
22053,5065
22055,30732
22057,14757
22059,2494
22061,6329
22063,17941
22065,1567
22067,4666
22069,6224
22071,55281
22073,22486
22075,3042
22077,4444
22079,20804
22081,1605
22083,3494
22085,4825
22087,5113
22089,6880
22091,1941
22093,3558
22095,5936
22097,13107
22099,7911
22101,8193
22103,41823
22105,18491
22107,1084
22109,15527
22111,4524
22113,9008
22115,5823
22117,8135
22119,7567
22121,3479
22123,2068
22125,2170
22127,2616
23001,18603
23003,15881
23005,52133
23007,6437
23009,13129
23011,23645
23013,9647
23015,9263
23017,12229
23019,27349
23021,4359
23023,7728
23025,10445
23027,8613
23029,7482
23031,40625
24001,14169
24003,82281
24005,139256
24009,13252
24011,5299
24013,27434
24015,15639
24017,19412
24019,6737
24021,35468
24023,6436
