"FIPS","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4"
18115,0.1678,0.0726,0.0118,0.1207
18117,0.6226,0.9462,0.0933,0.7039
18119,0.636,0.446,0.1082,0.242
18125,0.3732,0.4511,0.0334,0.1601
18127,0.1462,0.1554,0.4677,0.2273
18129,0.1417,0.0809,0.0175,0.0404
18131,0.529,0.6237,0.0471,0.0856
18135,0.586,0.8599,0.3521,0.1067
18137,0.3815,0.3766,0.2044,0.6937
18139,0.6194,0.3744,0.1579,0.0799
18141,0.4825,0.4715,0.7071,0.7157
18143,0.6653,0.5062,0.049,0.3894
18145,0.3146,0.3034,0.3782,0.1929
18147,0.2041,0.2203,0.1888,0.1073
18149,0.6959,0.3486,0.2954,0.0971
18151,0.2519,0.2642,0.3728,0.467
18155,0.7455,0.8733,0.1643,0.454
18159,0.1904,0.2897,0.2194,0.0452
18161,0.2994,0.2967,0.2009,0.1869
18165,0.4672,0.8991,0.0627,0.4817
18169,0.4143,0.3964,0.1633,0.3543
18171,0.1895,0.7459,0.0729,0.0204
18173,0.0382,0.234,0.2601,0.1605
18175,0.6092,0.7775,0.0293,0.2486
18177,0.5936,0.8879,0.4495,0.6915
18179,0.1806,0.446,0.2028,0.1754
18181,0.2752,0.6332,0.5743,0.0688
18183,0.0971,0.4403,0.0544,0.0299
19001,0.0936,0.5864,0.0341,0.0554
19003,0.1513,0.1726,0.0516,0.085
19005,0.2449,0.2273,0.5594,0.5333
19007,0.4347,0.6457,0.1305,0.4922
19011,0.0494,0.1936,0.1051,0.0318
19015,0.0672,0.1974,0.2397,0.3598
19017,0.0341,0.0971,0.1783,0.1678
19023,0.1201,0.2391,0.0605,0.0372
19027,0.0554,0.3658,0.0465,0.1181
19029,0.2701,0.4282,0.2999,0.1799
19031,0.0239,0.1006,0.1611,0.0344
19033,0.1535,0.4699,0.3187,0.4454
19035,0.065,0.6106,0.2311,0.3075
19037,0.0682,0.2407,0.3566,0.0525
19039,0.351,0.447,0.6495,0.5762
19041,0.2029,0.7074,0.4508,0.4358
19043,0.1318,0.347,0.2471,0.3881
19045,0.2857,0.6052,0.2034,0.3219
19055,0.0879,0.2404,0.0293,0.0996
19061,0.1834,0.2413,0.3171,0.5352
19065,0.2252,0.7084,0.2592,0.2155
19067,0.3277,0.7498,0.3585,0.3206
19069,0.2936,0.6256,0.5336,0.0252
19071,0.1382,0.2945,0.0675,0.0821
19073,0.2105,0.7332,0.2614,0.1449
19075,0.0086,0.2385,0.0589,0.006
19077,0.1592,0.6641,0.2461,0.0557
19079,0.1169,0.1821,0.4951,0.1321
19081,0.0586,0.2229,0.3216,0.1162
19083,0.1061,0.1296,0.3585,0.2894
19085,0.1064,0.3416,0.0341,0.135
19087,0.2847,0.6269,0.4518,0.2528
19089,0.2099,0.5915,0.0627,0.2066
19091,0.1882,0.4072,0.4104,0.0825
19093,0.121,0.5046,0.0201,0.1649
19095,0.0354,0.1694,0.1334,0.1347
19097,0.2334,0.5177,0.022,0.164
19099,0.2213,0.4409,0.1433,0.5629
19101,0.4516,0.0965,0.7434,0.689
19105,0.1889,0.1133,0.3356,0.5033
19107,0.2357,0.3954,0.0318,0.0111
19109,0.0901,0.6644,0.1827,0.0968
19111,0.5099,0.7822,0.2127,0.5568
19117,0.2503,0.7428,0.3025,0.248
19121,0.0471,0.2372,0.2044,0.0248
19123,0.3962,0.6772,0.3216,0.5989
19125,0.1134,0.3231,0.155,0.589
19129,0.0755,0.4514,0.2143,0.1789
19131,0.1841,0.4031,0.1003,0.0917
19133,0.2774,0.5657,0.0729,0.2003
19135,0.4592,0.3709,0.1484,0.2159
19139,0.2522,0.4798,0.7705,0.3642
19141,0.1016,0.3868,0.3375,0.5355
19143,0.242,0.4167,0.6129,0.1926
19145,0.2971,0.4152,0.4406,0.4333
19147,0.0487,0.3515,0.4225,0.3327
19149,0.0535,0.5922,0.4374,0.0911
19151,0.2303,0.3445,0.3948,0.077
19155,0.2653,0.6278,0.5521,0.6387
19159,0.1911,0.6597,0.049,0.142
19161,0.1194,0.4801,0.3295,0.0236
19163,0.1704,0.269,0.6202,0.3591
19165,0.1038,0.6434,0.2633,0.1149
19171,0.2755,0.5097,0.7173,0.1964
19173,0.2475,0.5826,0.6148,0.1417
19175,0.4318,0.7281,0.3954,0.377
19177,0.3548,0.4288,0.2095,0.2547
19179,0.6029,0.5788,0.7386,0.7752
19181,0.022,0.2477,0.1216,0.284
19183,0.1869,0.4766,0.5231,0.1907
19185,0.3745,0.8485,0.241,0.5422
19187,0.4242,0.4887,0.3731,0.6011
19189,0.2312,0.4932,0.3623,0.1751
19195,0.1799,0.5606,0.1665,0.0166
19197,0.3277,0.8933,0.666,0.2633
20001,0.4723,0.7453,0.1321,0.4152
20007,0.243,0.7268,0.3687,0.2365
20009,0.4322,0.8497,0.6972,0.3063
20011,0.4166,0.9682,0.1808,0.7249
20013,0.3153,0.8262,0.3095,0.1232
20015,0.1984,0.2401,0.3168,0.6243
20017,0.3924,0.7698,0.2821,0.4094
20025,0.1213,0.9131,0.4339,0.2779
20027,0.0408,0.6638,0.0573,0.0532
20029,0.3236,0.8774,0.1633,0.1652
20031,0.1672,0.7962,0.1127,0.2627
20035,0.4971,0.8822,0.6699,0.7202
20037,0.5723,0.2923,0.5294,0.9586
20041,0.4124,0.7434,0.1242,0.3231
20051,0.2226,0.0404,0.4505,0.3563
20059,0.25,0.2773,0.2884,0.3394
20071,0.3048,0.8787,0.795,0.4855
20077,0.3659,0.7405,0.4938,0.1184
20079,0.2268,0.581,0.5957,0.3279
20083,0.221,0.1662,0.4836,0.0576
20085,0.2535,0.886,0.3878,0.0987
20087,0.1952,0.4594,0.1057,0.0172
20095,0.1236,0.4241,0.1484,0.0312
20097,0.2328,0.3088,0.3228,0.4664
20099,0.5513,0.9322,0.3289,0.602
20101,0.1408,0.5253,0.1936,0.0025
20103,0.1248,0.4257,0.5084,0.3308
20105,0.2459,0.6094,0.0471,0.1146
20107,0.5564,0.9733,0.0716,0.2082
20109,0.1111,0.4776,0.3649,0.0993
20111,0.5596,0.1993,0.8217,0.9379
20113,0.1204,0.3448,0.1468,0.2057
20115,0.2831,0.3661,0.1229,0.2327
20117,0.2035,0.5578,0.1111,0.1191
20119,0.3895,0.6753,0.787,0.0866
20121,0.028,0.2824,0.1229,0.0634
20123,0.3131,0.7125,0.1016,0.3661
20125,0.6054,0.9647,0.66,0.6571
20127,0.2188,0.7227,0.3607,0.1834
20131,0.0854,0.4435,0.0965,0.2041
20133,0.4484,0.9784,0.3633,0.6702
20139,0.3564,0.7676,0.1515,0.1216
20141,0.1946,0.6619,0.0471,0.0264
20143,0.1261,0.2089,0.1789,0.0239
20147,0.1494,0.7383,0.2292,0.348
20151,0.2433,0.2174,0.6167,0.7087
20155,0.4258,0.5839,0.5323,0.7947
20159,0.5274,0.3152,0.5571,0.2974
20163,0.2793,0.6947,0.0592,0.0742
20165,0.3006,0.3945,0.0755,0.0258
20167,0.364,0.5065,0.3152,0.1315
20169,0.2717,0.4505,0.6855,0.4947
20173,0.3943,0.5457,0.8122,0.4588
20179,0.021,0.8892,0.2174,0.0153
20181,0.4656,0.9179,0.3044,0.3569
20185,0.3484,0.504,0.6673,0.0605
20191,0.2678,0.6221,0.1882,0.2404
20193,0.1287,0.1063,0.362,0.0952
20195,0.0226,0.5304,0.0519,0.0796
20197,0.0701,0.4734,0.177,0.0427
20199,0.1341,0.7635,0.5097,0.0169
20201,0.2564,0.3649,0.3537,0.0735
21003,0.7841,0.928,0.2716,0.3674
21005,0.565,0.6138,0.1789,0.0564
21007,0.621,0.7326,0.0917,0.3556
21009,0.8764,0.9067,0.2642,0.5164
21017,0.6414,0.7437,0.6832,0.1738
21023,0.7003,0.1627,0.0764,0.4884
21029,0.3548,0.3521,0.1608,0.064
21039,0.7201,0.2843,0.1385,0.178
21049,0.571,0.8316,0.4626,0.4772
21055,0.5889,0.645,0.219,0.4419
21059,0.4573,0.8201,0.4769,0.7071
21073,0.3898,0.4667,0.6215,0.7332
21079,0.699,0.8169,0.1293,0.148
21083,0.7678,0.7246,0.6358,0.5801
21089,0.6217,0.7399,0.0153,0.1544
21091,0.5946,0.7466,0.2811,0.127
21093,0.4185,0.7685,0.4995,0.6625
21097,0.6631,0.5428,0.1102,0.5575
21101,0.5796,0.9265,0.3158,0.7714
21103,0.679,0.9093,0.1987,0.2391
21107,0.6535,0.8255,0.2085,0.433
21117,0.2879,0.4126,0.4731,0.4343
21123,0.7131,0.873,0.3391,0.1515
21125,0.9067,0.7752,0.043,0.7447
21141,0.6955,0.7042,0.3598,0.2534
21145,0.3178,0.6422,0.3941,0.5473
21149,0.6768,0.85,0.0153,0.2251
21151,0.6946,0.1649,0.3069,0.5899
21157,0.4013,0.4935,0.014,0.4263
21161,0.6261,0.6425,0.4645,0.7237
21163,0.4752,0.2566,0.1936,0.426
21179,0.3185,0.7338,0.2229,0.2697
21185,0.0134,0.0968,0.3279,0.1563
21191,0.6455,0.6476,0.07,0.3177
21199,0.8863,0.8586,0.1789,0.5189
21209,0.2229,0.3789,0.5279,0.5138
21211,0.3729,0.3149,0.7408,0.384
21213,0.4981,0.3254,0.5349,0.0758
21215,0.2006,0.1716,0.1665,0.0267
21227,0.5232,0.4027,0.7606,0.8806
21229,0.6283,0.4785,0.4693,0.3486
21239,0.2723,0.382,0.6135,0.0637
22015,0.4882,0.4718,0.6488,0.6635
22019,0.5643,0.7905,0.6138,0.7829
22055,0.4283,0.2989,0.7911,0.8376
22063,0.386,0.511,0.4295,0.5215
22093,0.6589,0.5355,0.4893,0.6027
22101,0.8659,0.7692,0.8672,0.7908
22103,0.2748,0.4951,0.6893,0.1818
22105,0.8363,0.9026,0.7001,0.717
22109,0.8041,0.7956,0.7749,0.8507
22113,0.8115,0.7202,0.702,0.6224
22115,0.7468,0.6081,0.5769,0.6476
23001,0.3452,0.6135,0.4339,0.8806
23005,0.0373,0.042,0.4791,0.5925
23007,0.3611,0.212,0.1213,0.3677
23009,0.1525,0.3461,0.1095,0.5403
23011,0.2968,0.4196,0.1999,0.8122
23013,0.1357,0.2703,0.0602,0.4677
23017,0.5417,0.5126,0.0933,0.4145
23019,0.4191,0.4034,0.1385,0.8612
23023,0.0376,0.171,0.2362,0.1541
23025,0.7576,0.7313,0.1579,0.5648
23027,0.3334,0.5094,0.049,0.2986
23029,0.6777,0.823,0.341,0.5231
23031,0.0748,0.1528,0.2451,0.2811
24009,0.129,0.1668,0.4413,0.0146
24013,0.036,0.0519,0.3429,0.1831
24015,0.2736,0.2168,0.4967,0.4454
24021,0.085,0.1041,0.766,0.206
24023,0.2615,0.3292,0.0653,0.3582
24025,0.0933,0.0821,0.5562,0.1394
24035,0.0255,0.0643,0.5339,0.0296
24037,0.1105,0.2369,0.5718,0.3333
24043,0.4627,0.5317,0.5801,0.8007
25003,0.272,0.4438,0.5533,0.6004
25007,0.015,0.0735,0.4887,0.008
25011,0.1634,0.1885,0.4855,0.3706
25019,0.0102,0.0414,0.5928,0.0716
25023,0.1159,0.1668,0.7195,0.3515
26005,0.2064,0.171,0.4202,0.2506
26007,0.4682,0.6683,0.1194,0.3222
26015,0.2121,0.2111,0.1697,0.1102
26017,0.558,0.6663,0.2671,0.3241
26021,0.4914,0.6205,0.6527,0.7364
26023,0.4879,0.6345,0.5193,0.7896
26027,0.4392,0.7186,0.3184,0.1633
26029,0.1427,0.2617,0.1897,0.1687
26037,0.0774,0.0847,0.3349,0.0831
26041,0.3223,0.8214,0.121,0.4807
26043,0.2404,0.5979,0.099,0.3824
26047,0.1439,0.2381,0.2073,0.2993
26055,0.122,0.1506,0.2884,0.5415
26059,0.5344,0.4091,0.2283,0.7504
26061,0.6268,0.028,0.3607,0.9306
26063,0.4236,0.4413,0.1334,0.2897
26067,0.4513,0.2754,0.2919,0.8306
26075,0.4812,0.5559,0.3795,0.7599
26079,0.7213,0.7402,0.1261,0.3123
26087,0.3487,0.1439,0.3875,0.2999
26091,0.3446,0.5473,0.5154,0.4206
26093,0.029,0.0433,0.1665,0.0516
26099,0.3166,0.1961,0.7386,0.313
26103,0.4287,0.0748,0.3276,0.5804
26105,0.392,0.6625,0.2426,0.327
26107,0.7156,0.1878,0.1573,0.9258
26109,0.2768,0.5785,0.1611,0.4193
26111,0.1987,0.1624,0.1987,0.3999
26113,0.6271,0.7873,0.2209,0.2802
26115,0.2389,0.2159,0.2455,0.2187
26117,0.5971,0.7367,0.2751,0.7233
26121,0.6293,0.7348,0.418,0.788
26123,0.6723,0.7456,0.4132,0.4963
26127,0.7436,0.8914,0.7348,0.7281
26133,0.7411,0.9016,0.155,0.7724
26137,0.4083,0.7816,0.0837,0.4508
26139,0.1182,0.0805,0.6469,0.4877
26145,0.6178,0.7536,0.6065,0.6399
26147,0.4108,0.4632,0.2483,0.2289
26149,0.5478,0.8004,0.5858,0.5756
26151,0.6331,0.6784,0.2814,0.3002
26155,0.2822,0.3531,0.0926,0.1401
26157,0.5688,0.462,0.1971,0.382
26159,0.5621,0.531,0.6762,0.6842
26165,0.6191,0.8376,0.1197,0.3945
27003,0.0322,0.1748,0.6663,0.2136
27005,0.1908,0.6848,0.3158,0.439
27015,0.0608,0.2684,0.2674,0.3228
27017,0.2073,0.3047,0.2152,0.6641
27023,0.1449,0.6492,0.6106,0.4575
27025,0.0449,0.1226,0.1086,0.2862
27029,0.6949,0.8647,0.411,0.8332
27033,0.3051,0.7428,0.6253,0.4413
27035,0.0898,0.5692,0.0675,0.2528
27041,0.0258,0.2245,0.0764,0.2098
27043,0.1812,0.384,0.2849,0.1894
27045,0.1589,0.3537,0.306,0.4161
27047,0.3025,0.7335,0.6431,0.3343
27049,0.0758,0.1964,0.3827,0.432
27051,0.1191,0.5575,0.0965,0.121
27055,0.0274,0.1557,0.1105,0.0872
27059,0.136,0.3623,0.0977,0.1977
27061,0.2818,0.4117,0.192,0.6921
27063,0.0455,0.17,0.34,0.0382
27065,0.2959,0.6686,0.0675,0.4534
27067,0.2143,0.4495,0.7421,0.5119
27069,0.0955,0.1834,0.022,0.4607
27071,0.4481,0.6718,0.2416,0.5135
27079,0.0863,0.1853,0.4712,0.1757
27085,0.0621,0.3983,0.4238,0.1503
27089,0.1615,0.2467,0.3216,0.2009
27091,0.1831,0.6651,0.2057,0.2315
27093,0.0557,0.3496,0.3642,0.4355
27097,0.2643,0.4234,0.1948,0.4935
27107,0.1917,0.319,0.5043,0.6113
27111,0.1108,0.2553,0.3881,0.4753
27115,0.4315,0.3741,0.3101,0.7393
27121,0.0315,0.2302,0.0729,0.1324
27125,0.1111,0.3938,0.1843,0.3225
27127,0.2045,0.6164,0.2665,0.2827
27129,0.179,0.2388,0.4247,0.3018
27133,0.099,0.4247,0.2292,0.2954
27135,0.1312,0.2677,0.3843,0.5747
27137,0.2685,0.1535,0.2483,0.8182
27143,0.0962,0.1754,0.6342,0.1312
27147,0.1697,0.3244,0.4811,0.5699
27151,0.2385,0.7007,0.4604,0.3012
27153,0.3863,0.476,0.5575,0.5743
27157,0.0522,0.1958,0.2837,0.1152
27161,0.1455,0.3282,0.4578,0.4346
27163,0.0054,0.1458,0.5645,0.1293
27167,0.0366,0.5546,0.0716,0.6804
27173,0.2201,0.7743,0.4295,0.3464
28003,0.8557,0.7358,0.5498,0.2483
28033,0.307,0.4132,0.7319,0.1414
28045,0.6927,0.9039,0.2967,0.3085
28057,0.6882,0.7319,0.1808,0.4562
28059,0.6439,0.7574,0.6654,0.1433
28081,0.664,0.8055,0.6533,0.7663
28089,0.1723,0.3279,0.7959,0.2693
28093,0.815,0.3161,0.5791,0.5368
28095,0.7761,0.6956,0.4352,0.3524
28109,0.7736,0.8017,0.3703,0.5154
28121,0.2057,0.2209,0.5466,0.5823
28129,0.6124,0.7571,0.3868,0.1942
28159,0.8605,0.9653,0.7163,0.7861
28161,0.6637,0.8064,0.4037,0.7689
29003,0.1481,0.2693,0.0404,0.0423
29007,0.7322,0.4973,0.4438,0.4737
29011,0.6525,0.951,0.1315,0.4604
29013,0.4013,0.8832,0.0837,0.404
29021,0.549,0.6272,0.6078,0.8571
29025,0.3685,0.7386,0.1999,0.6855
29031,0.4634,0.1188,0.3922,0.7275
29033,0.7041,0.7787,0.1503,0.3687
29037,0.1459,0.3986,0.3989,0.0684
29039,0.8271,0.9946,0.0417,0.2018
29041,0.3312,0.6406,0.0337,0.1767
29043,0.2468,0.404,0.2359,0.1248
29045,0.3787,0.7482,0.2518,0.2986
29047,0.0732,0.2541,0.5826,0.1442
29049,0.2764,0.7049,0.1433,0.0786
29051,0.2,0.2662,0.3789,0.5145
29057,0.8513,0.7902,0.1859,0.4327
29059,0.6701,0.9799,0.2305,0.5444
29061,0.4637,0.6151,0.2241,0.6533
29071,0.3054,0.3075,0.1016,0.17
29073,0.2659,0.4333,0.0764,0.0443
29075,0.55,0.6743,0.114,0.4635
29079,0.5118,0.8093,0.4317,0.6759
29081,0.6551,0.9965,0.3935,0.4002
29083,0.6869,0.8083,0.1923,0.539
29087,0.3363,0.5097,0.0162,0.256
29089,0.4968,0.5269,0.262,0.4101
29091,0.6911,0.9096,0.1223,0.6909
29097,0.6197,0.5957,0.6281,0.5813
29099,0.3459,0.3547,0.2069,0.1547
29103,0.7363,0.9892,0.0153,0.2235
29105,0.7478,0.7377,0.1127,0.6256
29107,0.3089,0.7361,0.2321,0.5842
